,0
coordinates,0.9964647749010264
quoted_status_username,0.8609272556241641
usercreatedts,0.8397315042790916
in_reply_to_screen_name,0.7384727900127079
acctdesc,0.1263575427628011
location,0.0
followers,0.0
totaltweets,0.0
tweetid,0.0
following,0.0
username,0.0
userid,0.0
text,0.0
retweetcount,0.0
tweetcreatedts,0.0
hashtags,0.0
is_retweet,0.0
original_tweet_id,0.0
language,0.0
favorite_count,0.0
in_reply_to_status_id,0.0
original_tweet_userid,0.0
is_quote_status,0.0
in_reply_to_user_id,0.0
quoted_status_id,0.0
quoted_status_userid,0.0
extractedts,0.0
source_file,0.0
